[INFO] (2016-11-08 16:30:58,992) Config file successfully read
[INFO] (2016-11-08 16:30:59,015) Connection to database 'TEMPLeidos' successful
[INFO] (2016-11-08 16:30:59,016) Database 'TEMPLeidos' successfully initialized
[INFO] (2016-11-08 16:30:59,016) Starting tokenizer
[INFO] (2016-11-08 16:30:59,016) Project ids start at 3600000037 and file ids start at 162
[INFO] (2016-11-08 16:30:59,016) Editing tokenizer config file in 'bin/tokenizer/config.ini'
[INFO] (2016-11-08 16:30:59,018) Starting tokenizer, output in 'bin/tokenizer/output-1478651459.02'
[INFO] (2016-11-08 16:30:59,127) Tokenizer finished
[INFO] (2016-11-08 16:30:59,128) Starting importing to database 'TEMPLeidos' from folder 'bin/tokenizer/output-1478651459.02'
[INFO] (2016-11-08 16:30:59,128) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-1.projs
[INFO] (2016-11-08 16:30:59,128) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-2.projs
[INFO] (2016-11-08 16:30:59,129) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-0.projs
[INFO] (2016-11-08 16:30:59,129) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-3.projs
[INFO] (2016-11-08 16:30:59,129) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-4.projs
[INFO] (2016-11-08 16:30:59,129) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-5.projs
[INFO] (2016-11-08 16:30:59,129) Importing from bin/tokenizer/output-1478651459.02/bookkeeping_projs/bookkeeping-proj-6.projs
[INFO] (2016-11-08 16:30:59,130) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-5.stats
[INFO] (2016-11-08 16:30:59,131) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-4.stats
[INFO] (2016-11-08 16:30:59,132) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-3.stats
[INFO] (2016-11-08 16:30:59,133) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-2.stats
[INFO] (2016-11-08 16:30:59,135) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-0.stats
[INFO] (2016-11-08 16:30:59,136) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-6.stats
[INFO] (2016-11-08 16:30:59,136) Importing from bin/tokenizer/output-1478651459.02/files_stats/files-stats-1.stats
[INFO] (2016-11-08 16:30:59,145) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-1.tokens
[INFO] (2016-11-08 16:30:59,153) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-2.tokens
[INFO] (2016-11-08 16:30:59,155) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-5.tokens
[INFO] (2016-11-08 16:30:59,156) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-6.tokens
[INFO] (2016-11-08 16:30:59,156) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-0.tokens
[INFO] (2016-11-08 16:30:59,157) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-4.tokens
[INFO] (2016-11-08 16:30:59,159) Importing from bin/tokenizer/output-1478651459.02/files_tokens/files-tokens-3.tokens
[INFO] (2016-11-08 16:30:59,159) All information successfully imported to database
[INFO] (2016-11-08 16:30:59,159) Generating input to CC
[INFO] (2016-11-08 16:30:59,162) A total of 0 distinct token hashes were found
