[INFO] (2016-11-08 16:09:21,986) Config file successfully read
[INFO] (2016-11-08 16:09:22,009) Connection to database 'TEMPLeidos' successful
[INFO] (2016-11-08 16:09:22,009) Database 'TEMPLeidos' successfully initialized
[INFO] (2016-11-08 16:09:22,010) Starting tokenizer
[INFO] (2016-11-08 16:09:22,010) Project ids start at 1800000019 and file ids start at 84
[INFO] (2016-11-08 16:09:22,010) Editing tokenizer config file in 'bin/tokenizer/config.ini'
[INFO] (2016-11-08 16:09:22,010) Starting tokenizer, output in 'bin/tokenizer/output-1478650162.01'
[INFO] (2016-11-08 16:09:22,133) Tokenizer finished
[INFO] (2016-11-08 16:09:22,133) Starting importing to database 'TEMPLeidos' from folder 'bin/tokenizer/output-1478650162.01'
[INFO] (2016-11-08 16:09:22,134) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-1.projs
[INFO] (2016-11-08 16:09:22,134) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-2.projs
[INFO] (2016-11-08 16:09:22,134) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-0.projs
[INFO] (2016-11-08 16:09:22,135) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-3.projs
[INFO] (2016-11-08 16:09:22,135) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-4.projs
[INFO] (2016-11-08 16:09:22,135) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-5.projs
[INFO] (2016-11-08 16:09:22,135) Importing from bin/tokenizer/output-1478650162.01/bookkeeping_projs/bookkeeping-proj-6.projs
[INFO] (2016-11-08 16:09:22,135) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-5.stats
[INFO] (2016-11-08 16:09:22,136) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-4.stats
[INFO] (2016-11-08 16:09:22,138) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-3.stats
[INFO] (2016-11-08 16:09:22,139) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-2.stats
[INFO] (2016-11-08 16:09:22,140) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-0.stats
[INFO] (2016-11-08 16:09:22,141) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-6.stats
[INFO] (2016-11-08 16:09:22,141) Importing from bin/tokenizer/output-1478650162.01/files_stats/files-stats-1.stats
[INFO] (2016-11-08 16:09:22,151) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-1.tokens
[INFO] (2016-11-08 16:09:22,158) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-2.tokens
[INFO] (2016-11-08 16:09:22,160) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-5.tokens
[INFO] (2016-11-08 16:09:22,161) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-6.tokens
[INFO] (2016-11-08 16:09:22,161) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-0.tokens
[INFO] (2016-11-08 16:09:22,162) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-4.tokens
[INFO] (2016-11-08 16:09:22,163) Importing from bin/tokenizer/output-1478650162.01/files_tokens/files-tokens-3.tokens
[INFO] (2016-11-08 16:09:22,164) All information successfully imported to database
